Feature,Score
customerID_3058-HJCUY,0.0074820338156893484
customerID_2516-VQRRV,0.007472061295836996
customerID_2522-AHJXR,0.00747051897479456
customerID_5985-TBABQ,0.0074577779712641235
customerID_8535-SFUTN,0.007451506876355651
customerID_4373-MAVJG,0.007449400016520169
customerID_5183-KLYEM,0.00744278246353014
customerID_2651-ZCBXV,0.007441783556360715
customerID_7504-UWHNB,0.007438206432333949
customerID_8035-BUYVG,0.007432526548666107
customerID_7593-XFKDI,0.007429516842478057
customerID_2207-QPJED,0.007424279189133465
customerID_1492-QGCLU,0.007419751937645103
customerID_0394-YONDK,0.007419168066975512
customerID_0106-GHRQR,0.0074166335266314665
customerID_0454-OKRCT,0.007405476693568058
customerID_6784-XYJAE,0.0074044670816462155
customerID_5177-RVZNU,0.007398798317067801
customerID_5766-XQXMQ,0.007396568143343885
customerID_5313-FPXWG,0.007392517251075814
customerID_8818-XYFCQ,0.00738896957516455
customerID_3541-ZNUHK,0.007384065475722901
customerID_7610-TVOPG,0.007380312515130161
customerID_5382-SOYZL,0.007373697981208238
customerID_3301-VKTGC,0.007371864219876567
customerID_0875-CABNR,0.007366845792972088
customerID_6127-ISGTU,0.007365562341403065
customerID_6549-YMFAW,0.007344016030123912
customerID_9603-OAIHC,0.00734353383360431
customerID_8390-FESFV,0.007338313625794957
customerID_8267-KFGYD,0.007316563009607924
customerID_3870-SPZSI,0.007300619989299317
customerID_7657-DYEPJ,0.007295799127501557
customerID_4702-HDRKD,0.007274172988967598
customerID_9670-BPNXF,0.007273585761150336
customerID_6615-ZGEDR,0.0072675201772562925
customerID_2694-CIUMO,0.007262679590166021
customerID_1612-EOHDH,0.007261036824458333
customerID_7026-YMSBE,0.00725202136217562
customerID_0379-DJQHR,0.0072506535984095954
customerID_3704-IEAXF,0.007241162145429358
customerID_2070-FNEXE,0.0072361614068878755
customerID_2239-CGBUZ,0.007231760303493262
customerID_6421-SZVEM,0.007221877387386
customerID_4667-QONEA,0.007205765446854029
customerID_7564-GHCVB,0.007200664488248298
customerID_6231-WFGFH,0.007198381448105584
customerID_3633-CDBUW,0.007182456187512676
customerID_6332-FBZRI,0.007178622561438308
customerID_8138-EALND,0.007167485570581222
customerID_3807-XHCJH,0.0071617640185510645
customerID_1386-ZIKUV,0.007148517529099729
customerID_8819-WFGGJ,0.007144995456117353
customerID_0220-EBGCE,0.007141679087931285
customerID_6384-VMJHP,0.007137966328473855
customerID_9644-KVCNC,0.00713078342167317
customerID_4654-ULTTN,0.00712892743136484
customerID_1498-NHTLT,0.007128909684164686
customerID_9822-WMWVG,0.007121472675426066
customerID_9220-CXRSC,0.007121053504913544
customerID_6035-RIIOM,0.007120232443253993
customerID_6077-BDPXA,0.007115457980701789
customerID_4083-BFNYK,0.007101631273565223
customerID_4182-BGSIQ,0.007097565552131702
customerID_8740-CRYFY,0.007097299920256317
customerID_2001-EWBQU,0.007096376216082501
customerID_4929-ROART,0.007095372821549928
customerID_1074-AMIOH,0.007093967264986345
customerID_4488-KQFDT,0.00709173733553925
customerID_7159-NOKYQ,0.007084729723432215
customerID_2075-PUEPR,0.007081102533029959
customerID_5095-ETBRJ,0.007073865072650509
customerID_0114-IGABW,0.007069845298757427
customerID_1335-NTIUC,0.00706822966470555
customerID_9537-VHDTA,0.00706621956984077
customerID_0887-HJGAR,0.007064340344105524
customerID_1958-RNRKS,0.007058448651677596
customerID_9938-ZREHM,0.007048481672740747
customerID_4774-HHGGS,0.007047622319506841
customerID_7663-YJHSN,0.007045602268167972
customerID_9169-BSVIN,0.007041511042521487
customerID_7594-RQHXR,0.007029847528416733
customerID_9330-DHBFL,0.007019578545048422
customerID_4741-WWJQZ,0.007019152823034336
customerID_1135-LMECX,0.007017660488970456
customerID_8443-ZRDBZ,0.007015725818990237
customerID_4829-ZLJTK,0.0070155986580415775
customerID_0701-TJSEF,0.007010665273776695
customerID_6710-HSJRD,0.0070102212042926215
customerID_6625-FLENO,0.006996737818254717
customerID_2495-KZNFB,0.006994433091250807
